Temperature,A1,A2,B1,B2,C1,C2,D1,D2,E1,E2,F1,F2,G1,G2,H1,H2
60,3843,3967,4454,4207,4154,4567,4521,4156,4561,4242,4685,4333,4591,4445,2276,2264
60.3,3851,3982,4483,4230,4175,4591,4548,4181,4587,4266,4713,4359,4614,4467,2273,2263
60.6,3860,3998,4512,4253,4196,4615,4575,4206,4613,4290,4741,4385,4637,4489,2271,2261
60.9,3869,4013,4541,4277,4216,4639,4602,4232,4639,4313,4769,4411,4660,4512,2269,2259
61.2,3878,4029,4571,4300,4237,4663,4628,4257,4664,4337,4796,4437,4684,4534,2266,2258
61.5,3886,4044,4600,4323,4257,4687,4655,4282,4690,4360,4824,4464,4707,4557,2264,2256
61.8,3895,4060,4629,4346,4278,4711,4682,4308,4716,4384,4852,4490,4730,4579,2261,2255
62.1,3900,4072,4654,4364,4295,4731,4705,4329,4738,4404,4876,4512,4750,4598,2259,2253
62.4,3903,4080,4675,4378,4308,4746,4722,4347,4756,4420,4897,4531,4768,4615,2256,2251
62.7,3904,4086,4692,4388,4317,4758,4734,4360,4771,4433,4912,4546,4781,4627,2254,2249
63,3902,4088,4704,4393,4323,4765,4743,4369,4782,4442,4924,4558,4791,4636,2251,2247
63.3,3899,4087,4713,4393,4326,4768,4746,4374,4790,4447,4932,4565,4797,4641,2249,2244
63.6,3893,4084,4717,4389,4326,4768,4746,4376,4794,4449,4937,4569,4800,4642,2247,2242
63.9,3886,4078,4718,4381,4323,4764,4742,4374,4794,4448,4939,4570,4800,4640,2245,2239
64.2,3877,4068,4716,4369,4318,4757,4735,4370,4792,4444,4938,4568,4798,4634,2243,2237
64.5,3867,4057,4711,4354,4311,4748,4726,4364,4786,4437,4935,4564,4793,4626,2241,2236
64.8,3856,4045,4704,4337,4301,4737,4714,4356,4780,4429,4930,4557,4786,4617,2239,2234
65.1,3844,4032,4695,4319,4291,4724,4701,4346,4770,4419,4922,4549,4777,4606,2237,2231
65.4,3831,4018,4683,4299,4279,4709,4686,4336,4759,4408,4912,4539,4767,4593,2235,2229
65.7,3818,4004,4670,4277,4267,4694,4671,4324,4747,4395,4901,4528,4756,4580,2233,2227
66,3804,3991,4657,4255,4253,4678,4654,4311,4734,4383,4889,4516,4743,4565,2231,2225
66.3,3791,3977,4642,4232,4239,4661,4637,4299,4720,4370,4875,4502,4730,4550,2229,2223
66.6,3777,3963,4628,4209,4225,4644,4620,4285,4706,4356,4861,4489,4716,4533,2227,2221
66.9,3763,3947,4614,4186,4211,4627,4603,4272,4692,4343,4846,4475,4701,4517,2225,2219
67.2,3750,3932,4600,4164,4197,4610,4587,4258,4678,4330,4832,4461,4686,4501,2223,2217
67.5,3737,3917,4586,4142,4184,4594,4571,4244,4664,4318,4817,4447,4671,4484,2221,2216
67.8,3724,3903,4573,4121,4172,4578,4556,4231,4651,4305,4803,4433,4656,4468,2219,2214
68.1,3711,3889,4559,4100,4160,4563,4543,4218,4639,4293,4791,4419,4642,4453,2217,2212
68.4,3699,3878,4546,4080,4148,4548,4530,4205,4627,4282,4778,4406,4628,4437,2216,2210
68.7,3687,3867,4534,4062,4138,4535,4519,4193,4616,4270,4766,4393,4614,4422,2215,2209
69,3675,3856,4522,4044,4128,4523,4508,4181,4607,4259,4755,4380,4602,4408,2213,2207
69.3,3664,3847,4513,4028,4118,4511,4498,4169,4598,4248,4745,4368,4590,4394,2212,2206
69.6,3653,3838,4504,4013,4109,4502,4487,4159,4590,4238,4734,4357,4578,4382,2210,2205
69.9,3643,3830,4496,4000,4099,4494,4477,4150,4582,4230,4723,4347,4567,4370,2209,2205
70.2,3635,3822,4489,3988,4090,4488,4467,4142,4573,4223,4713,4338,4557,4359,2207,2204
70.5,3626,3814,4483,3977,4081,4484,4457,4136,4564,4217,4702,4329,4546,4349,2206,2203
70.8,3618,3808,4477,3966,4073,4481,4446,4132,4556,4214,4691,4322,4534,4338,2205,2202
71.1,3610,3801,4472,3956,4066,4479,4435,4128,4548,4211,4681,4314,4523,4328,2204,2201
71.4,3603,3796,4467,3946,4058,4477,4423,4127,4539,4210,4671,4306,4512,4318,2203,2199
71.7,3596,3791,4462,3936,4050,4474,4409,4126,4530,4210,4663,4299,4501,4308,2202,2197
72,3590,3787,4456,3924,4041,4469,4394,4125,4519,4210,4654,4292,4491,4299,2201,2195
72.3,3583,3782,4447,3912,4028,4459,4376,4124,4504,4210,4643,4286,4482,4289,2200,2194
72.6,3575,3777,4435,3898,4012,4445,4356,4119,4485,4208,4629,4281,4471,4281,2199,2193
72.9,3566,3770,4419,3882,3992,4426,4335,4111,4462,4204,4612,4276,4457,4274,2198,2192
73.2,3556,3761,4398,3864,3971,4405,4312,4098,4437,4196,4590,4269,4441,4268,2198,2191
73.5,3544,3750,4375,3844,3948,4381,4288,4081,4410,4184,4565,4259,4421,4261,2197,2191
73.8,3532,3738,4349,3824,3925,4357,4264,4061,4383,4167,4538,4245,4398,4253,2196,2190
74.1,3518,3724,4323,3804,3902,4331,4238,4040,4356,4148,4509,4228,4372,4243,2195,2189
74.4,3504,3709,4296,3783,3879,4305,4212,4018,4330,4126,4481,4207,4345,4228,2194,2189
74.7,3490,3694,4270,3762,3856,4279,4187,3995,4303,4103,4452,4184,4318,4209,2192,2188
75,3474,3677,4243,3740,3833,4252,4161,3973,4276,4079,4424,4160,4291,4187,2191,2187
75.3,3459,3660,4216,3719,3810,4225,4135,3950,4249,4056,4397,4136,4264,4163,2191,2187
75.6,3443,3643,4188,3697,3787,4199,4110,3928,4223,4033,4370,4112,4237,4138,2190,2186
75.9,3426,3625,4161,3674,3765,4173,4086,3905,4196,4011,4343,4089,4210,4112,2190,2185
76.2,3409,3607,4133,3651,3743,4146,4061,3883,4170,3988,4316,4065,4184,4087,2190,2185
76.5,3392,3588,4106,3628,3722,4120,4037,3860,4144,3966,4289,4041,4158,4062,2190,2184
76.8,3375,3570,4079,3606,3700,4094,4012,3838,4118,3944,4262,4017,4132,4036,2189,2183
77.1,3357,3551,4052,3583,3679,4067,3988,3816,4093,3921,4235,3993,4106,4011,2188,2182
77.4,3340,3531,4026,3560,3658,4041,3963,3794,4067,3899,4208,3970,4081,3986,2187,2182
77.7,3323,3512,4000,3536,3636,4015,3938,3771,4041,3876,4180,3946,4055,3961,2187,2181
78,3305,3493,3973,3513,3614,3989,3913,3748,4015,3852,4153,3922,4029,3936,2186,2181
