Temperature,A1,A2,B1,B2,C1,C2,D1,D2,E1,E2,F1,F2,G1,G2,I1,I2,I3,I4,I5,J1,J2,J3,J4,J5,K1,K2,K3,K4,K5,L1,L2,L3,L4,L5,M1,M2,M3,M4,M5,N1,N2,N3,N4,N5,O1,O2,O3,O4,P1,P2,P3,P4,Q1,Q3,Q4,Q5,Q6,Q7,Q9,Q10,Q11,R1,R3,R5,R6,R7,R8,R9,R10,S1,S3,S7,S8,T4,T5,T6,T7,T8,T9,U2,U3,U5,U7,U8,U9,U10,V1,V3,V4,V5,V7,V9,V10,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,X1,X3,X4,X5,X7,X8,X9,X10
60,3843,3967,4454,4207,4154,4567,4521,4156,4561,4242,4685,4333,4591,4445,4019,3974,4199,4313,4462,4358,3829,4178,4317,4288,4497,4296,4279,4785,4958,4452,4356,4222,3817,4515,4455,4548,4313,4550,4593,4657,4650,4551,4565,4733,4393,4588,4748,3975,4443,4373,4228,4100,2992,3395,3461,3176,3312,3708,3654,3638,3512,3143,3496,3503,3328,3157,3250,3772,3618,3042,3613,2980,3645,2830,3445,3508,3772,3374,3736,3448,3247,3481,3915,3404,3748,3636,2935,3213,3513,3822,3722,3508,3609,2832,3082,3594,3450,3462,3464,3851,3622,3899,3838,3274,3513,2921,3639,3672,3561,3594,3626
60.3,3851,3982,4483,4230,4175,4591,4548,4181,4587,4266,4713,4359,4614,4467,4034,3987,4217,4338,4484,4387,3841,4206,4339,4313,4528,4327,4306,4810,4988,4481,4393,4252,3832,4543,4486,4580,4343,4575,4615,4687,4685,4580,4591,4752,4420,4615,4781,3994,4463,4399,4255,4125,3000,3406,3476,3186,3324,3727,3676,3657,3530,3158,3510,3527,3340,3168,3265,3794,3638,3056,3629,2987,3668,2839,3466,3525,3798,3390,3758,3467,3257,3499,3938,3417,3769,3654,2948,3223,3533,3840,3743,3527,3630,2841,3091,3613,3462,3477,3483,3874,3638,3920,3862,3286,3532,2928,3660,3689,3583,3614,3644
60.6,3860,3998,4512,4253,4196,4615,4575,4206,4613,4290,4741,4385,4637,4489,4049,4001,4236,4362,4507,4417,3853,4233,4361,4337,4558,4358,4334,4835,5019,4510,4430,4281,3847,4570,4517,4612,4373,4599,4637,4716,4720,4608,4618,4772,4447,4642,4814,4013,4483,4426,4283,4151,3009,3417,3492,3196,3336,3745,3698,3675,3547,3172,3524,3551,3352,3178,3280,3816,3657,3069,3646,2994,3691,2847,3486,3541,3824,3407,3780,3485,3268,3518,3961,3431,3790,3672,2961,3233,3554,3858,3763,3546,3651,2850,3100,3632,3475,3492,3501,3897,3654,3940,3886,3298,3551,2935,3681,3707,3605,3633,3662
60.9,3869,4013,4541,4277,4216,4639,4602,4232,4639,4313,4769,4411,4660,4512,4064,4014,4255,4387,4530,4447,3865,4260,4384,4361,4588,4389,4362,4860,5050,4539,4467,4310,3861,4598,4548,4644,4403,4623,4658,4746,4755,4637,4644,4791,4474,4669,4847,4032,4504,4452,4310,4176,3018,3428,3507,3206,3348,3764,3720,3693,3565,3187,3538,3575,3364,3189,3294,3838,3676,3083,3663,3002,3713,2855,3506,3557,3850,3423,3802,3504,3279,3536,3984,3444,3811,3690,2974,3243,3574,3876,3784,3565,3671,2860,3109,3651,3487,3506,3519,3920,3670,3960,3910,3310,3569,2941,3702,3725,3626,3653,3680
61.2,3878,4029,4571,4300,4237,4663,4628,4257,4664,4337,4796,4437,4684,4534,4079,4028,4274,4412,4553,4476,3877,4288,4406,4386,4619,4420,4390,4885,5081,4568,4504,4340,3876,4625,4579,4676,4433,4647,4680,4776,4790,4666,4670,4811,4502,4696,4880,4050,4524,4478,4338,4201,3026,3439,3522,3216,3360,3783,3742,3711,3582,3202,3552,3599,3376,3200,3309,3860,3696,3097,3679,3009,3736,2864,3526,3574,3876,3439,3824,3522,3290,3554,4007,3458,3832,3708,2986,3253,3594,3895,3805,3584,3692,2869,3118,3671,3500,3521,3538,3943,3686,3980,3933,3322,3588,2948,3723,3742,3648,3672,3698
61.5,3886,4044,4600,4323,4257,4687,4655,4282,4690,4360,4824,4464,4707,4557,4094,4041,4293,4436,4576,4506,3889,4315,4428,4410,4649,4451,4418,4910,5112,4597,4541,4369,3891,4653,4611,4709,4464,4672,4702,4805,4825,4694,4696,4830,4529,4724,4913,4069,4544,4505,4366,4226,3035,3450,3538,3227,3372,3802,3764,3730,3600,3216,3566,3623,3388,3210,3323,3882,3715,3110,3696,3016,3758,2872,3546,3590,3903,3455,3846,3540,3301,3572,4030,3471,3853,3726,2999,3263,3614,3913,3825,3603,3713,2879,3126,3690,3512,3536,3556,3965,3703,4001,3957,3334,3607,2955,3744,3760,3670,3692,3716
61.8,3895,4060,4629,4346,4278,4711,4682,4308,4716,4384,4852,4490,4730,4579,4109,4054,4312,4461,4598,4535,3901,4342,4450,4434,4679,4482,4446,4935,5143,4627,4578,4399,3906,4681,4642,4741,4494,4696,4724,4835,4861,4723,4722,4850,4556,4751,4946,4088,4564,4531,4393,4251,3043,3461,3553,3237,3385,3820,3786,3748,3617,3231,3580,3647,3400,3221,3338,3903,3735,3124,3713,3023,3781,2880,3566,3607,3929,3471,3868,3559,3312,3590,4053,3485,3874,3744,3012,3273,3634,3931,3846,3622,3734,2888,3135,3709,3525,3551,3574,3988,3719,4021,3981,3346,3625,2962,3765,3777,3691,3711,3734
62.1,3900,4072,4654,4364,4295,4731,4705,4329,4738,4404,4876,4512,4750,4598,4120,4064,4327,4482,4618,4560,3909,4366,4469,4456,4704,4508,4470,4956,5170,4651,4609,4425,3919,4705,4668,4768,4520,4717,4743,4860,4891,4748,4745,4866,4579,4773,4975,4105,4579,4553,4417,4273,3049,3468,3565,3243,3393,3835,3804,3762,3631,3242,3589,3666,3407,3228,3348,3921,3749,3134,3724,3028,3798,2886,3582,3617,3949,3483,3885,3573,3319,3604,4070,3494,3890,3757,3023,3280,3649,3946,3861,3636,3750,2895,3141,3723,3533,3561,3588,4006,3730,4037,4000,3355,3639,2967,3783,3791,3708,3727,3748
62.4,3903,4080,4675,4378,4308,4746,4722,4347,4756,4420,4897,4531,4768,4615,4128,4071,4339,4499,4635,4581,3913,4386,4484,4476,4724,4528,4490,4973,5193,4670,4635,4448,3929,4725,4690,4790,4543,4736,4757,4879,4918,4769,4765,4880,4597,4792,4999,4120,4590,4570,4438,4291,3054,3474,3574,3248,3397,3846,3817,3772,3642,3251,3596,3680,3411,3233,3355,3934,3759,3140,3732,3030,3811,2891,3595,3622,3964,3492,3898,3584,3324,3613,4084,3500,3903,3765,3032,3284,3661,3957,3872,3647,3763,2900,3145,3733,3538,3568,3597,4019,3737,4050,4016,3361,3649,2971,3798,3803,3720,3740,3760
62.7,3904,4086,4692,4388,4317,4758,4734,4360,4771,4433,4912,4546,4781,4627,4132,4074,4347,4513,4648,4597,3914,4402,4496,4492,4738,4543,4507,4986,5212,4685,4656,4466,3936,4740,4707,4807,4562,4751,4769,4895,4939,4786,4781,4889,4611,4806,5020,4133,4596,4583,4455,4306,3057,3477,3580,3249,3399,3854,3827,3779,3649,3257,3600,3691,3411,3235,3360,3944,3767,3144,3736,3031,3819,2894,3605,3624,3974,3499,3908,3591,3327,3620,4094,3504,3912,3770,3039,3286,3669,3965,3880,3654,3771,2904,3146,3740,3541,3572,3603,4028,3740,4061,4027,3365,3655,2973,3810,3813,3729,3750,3769
63,3902,4088,4704,4393,4323,4765,4743,4369,4782,4442,4924,4558,4791,4636,4133,4075,4352,4523,4656,4609,3911,4414,4504,4505,4748,4553,4518,4995,5227,4696,4671,4481,3940,4751,4719,4819,4578,4762,4776,4906,4956,4799,4794,4895,4621,4816,5036,4143,4599,4593,4469,4318,3057,3478,3584,3250,3398,3860,3834,3783,3655,3260,3601,3699,3409,3236,3361,3950,3771,3145,3737,3029,3823,2896,3613,3622,3980,3503,3915,3597,3328,3623,4101,3506,3918,3772,3045,3286,3674,3969,3884,3659,3776,2905,3146,3744,3542,3574,3605,4034,3742,4068,4035,3367,3658,2974,3819,3819,3733,3758,3775
63.3,3899,4087,4713,4393,4326,4768,4746,4374,4790,4447,4932,4565,4797,4641,4131,4072,4353,4530,4661,4618,3904,4422,4509,4515,4753,4558,4525,5000,5238,4703,4680,4493,3941,4756,4728,4826,4590,4770,4780,4913,4967,4809,4802,4897,4628,4822,5048,4151,4599,4599,4479,4326,3057,3477,3585,3248,3395,3863,3836,3785,3657,3262,3599,3704,3405,3234,3360,3954,3771,3144,3735,3027,3824,2897,3618,3618,3982,3506,3918,3599,3327,3625,4105,3506,3921,3772,3049,3285,3677,3971,3886,3662,3779,2905,3144,3745,3540,3574,3605,4038,3741,4073,4041,3367,3659,2975,3826,3824,3735,3762,3779
63.6,3893,4084,4717,4389,4326,4768,4746,4376,4794,4449,4937,4569,4800,4642,4127,4067,4352,4535,4663,4623,3895,4426,4510,4521,4755,4559,4528,5002,5245,4706,4685,4500,3940,4758,4732,4828,4598,4774,4780,4917,4975,4815,4807,4894,4632,4825,5056,4154,4596,4603,4485,4330,3054,3474,3584,3245,3390,3863,3837,3785,3657,3261,3596,3706,3399,3231,3356,3955,3769,3142,3730,3023,3823,2897,3621,3612,3981,3506,3920,3600,3325,3625,4107,3504,3922,3770,3051,3282,3679,3970,3885,3662,3780,2904,3140,3743,3538,3572,3603,4039,3738,4076,4045,3365,3657,2974,3831,3826,3734,3764,3780
63.9,3886,4078,4718,4381,4323,4764,4742,4374,4794,4448,4939,4570,4800,4640,4120,4059,4348,4536,4660,4625,3884,4426,4508,4524,4753,4556,4528,5000,5248,4705,4685,4504,3937,4755,4733,4826,4602,4774,4777,4917,4978,4817,4809,4888,4632,4824,5061,4153,4591,4603,4488,4331,3051,3470,3582,3241,3384,3862,3834,3782,3655,3259,3591,3706,3392,3226,3352,3953,3765,3139,3724,3017,3818,2896,3622,3604,3977,3504,3918,3599,3322,3623,4107,3501,3920,3765,3052,3278,3677,3967,3882,3661,3778,2902,3134,3739,3534,3569,3599,4039,3733,4076,4046,3362,3652,2973,3834,3826,3732,3764,3780
64.2,3877,4068,4716,4369,4318,4757,4735,4370,4792,4444,4938,4568,4798,4634,4111,4050,4342,4535,4655,4625,3870,4424,4503,4524,4749,4551,4523,4995,5247,4701,4681,4505,3931,4749,4731,4820,4603,4771,4771,4914,4978,4816,4808,4878,4630,4820,5062,4150,4585,4601,4489,4329,3046,3464,3577,3236,3376,3859,3830,3777,3652,3256,3584,3703,3384,3219,3346,3948,3758,3135,3716,3011,3813,2895,3621,3595,3971,3501,3915,3596,3317,3619,4104,3497,3917,3759,3052,3274,3674,3961,3876,3657,3775,2900,3128,3733,3528,3564,3594,4037,3726,4074,4046,3357,3646,2971,3835,3823,3727,3761,3778
64.5,3867,4057,4711,4354,4311,4748,4726,4364,4786,4437,4935,4564,4793,4626,4101,4039,4333,4531,4648,4621,3855,4418,4496,4522,4742,4544,4517,4987,5244,4694,4674,4504,3923,4740,4726,4811,4601,4766,4762,4909,4975,4812,4804,4866,4626,4813,5059,4144,4576,4596,4486,4324,3040,3457,3572,3229,3368,3854,3823,3770,3646,3251,3576,3699,3375,3212,3339,3940,3750,3130,3707,3005,3805,2893,3619,3584,3962,3497,3910,3591,3311,3614,4100,3492,3912,3752,3050,3267,3670,3954,3868,3652,3771,2896,3121,3726,3523,3558,3588,4034,3718,4071,4044,3351,3638,2968,3834,3820,3721,3757,3775
64.8,3856,4045,4704,4337,4301,4737,4714,4356,4780,4429,4930,4557,4786,4617,4089,4028,4323,4525,4638,4616,3839,4411,4487,4517,4732,4536,4509,4975,5238,4685,4664,4500,3914,4729,4719,4798,4597,4759,4750,4901,4971,4805,4797,4852,4620,4803,5054,4135,4565,4588,4481,4317,3034,3449,3566,3222,3359,3848,3815,3762,3639,3246,3568,3694,3365,3204,3331,3930,3741,3124,3696,2998,3796,2890,3616,3573,3951,3491,3903,3586,3304,3608,4094,3486,3905,3743,3048,3260,3664,3946,3858,3646,3766,2892,3112,3717,3515,3551,3580,4029,3708,4065,4041,3344,3628,2964,3833,3814,3714,3751,3770
65.1,3844,4032,4695,4319,4291,4724,4701,4346,4770,4419,4922,4549,4777,4606,4075,4015,4310,4517,4626,4608,3822,4402,4477,4511,4721,4526,4499,4962,5230,4675,4652,4495,3903,4716,4710,4783,4591,4751,4737,4891,4964,4796,4789,4836,4612,4792,5045,4125,4554,4577,4475,4307,3027,3440,3558,3214,3349,3840,3806,3752,3631,3240,3558,3688,3354,3195,3323,3918,3730,3118,3684,2991,3786,2886,3612,3560,3938,3485,3895,3579,3297,3600,4087,3479,3897,3733,3045,3252,3656,3936,3847,3639,3760,2888,3104,3708,3507,3542,3573,4023,3697,4059,4035,3336,3618,2961,3829,3808,3707,3743,3765
65.4,3831,4018,4683,4299,4279,4709,4686,4336,4759,4408,4912,4539,4767,4593,4062,4001,4297,4508,4614,4598,3804,4391,4466,4503,4709,4515,4489,4946,5221,4663,4638,4489,3891,4701,4699,4766,4583,4741,4722,4879,4956,4786,4780,4818,4602,4779,5035,4114,4541,4565,4468,4297,3020,3430,3550,3205,3339,3831,3795,3741,3622,3234,3549,3680,3341,3185,3313,3905,3718,3111,3672,2983,3775,2882,3606,3546,3924,3477,3886,3570,3289,3592,4079,3471,3888,3722,3042,3243,3648,3925,3835,3630,3753,2882,3095,3698,3498,3533,3564,4016,3686,4050,4029,3328,3607,2956,3825,3800,3699,3734,3759
65.7,3818,4004,4670,4277,4267,4694,4671,4324,4747,4395,4901,4528,4756,4580,4047,3987,4282,4497,4600,4587,3786,4380,4454,4494,4696,4504,4477,4929,5210,4650,4623,4481,3878,4686,4687,4748,4574,4731,4706,4866,4946,4775,4768,4799,4591,4765,5023,4101,4528,4551,4460,4284,3013,3419,3542,3196,3329,3821,3784,3730,3612,3227,3539,3672,3328,3174,3304,3891,3705,3104,3659,2975,3762,2878,3599,3531,3908,3468,3875,3561,3281,3583,4069,3462,3878,3710,3037,3234,3640,3913,3822,3621,3745,2877,3085,3686,3487,3523,3554,4007,3675,4041,4021,3319,3596,2951,3819,3791,3690,3725,3751
